Model,BVP,BVPMean,BVPMAE,PositiveLeakCount,PositiveLeakRateOnRegion,RegionSamples,RegionRatio,RadiationThreshold
Persistence,30.888063643964365,0.0004580895717500796,0.00032324848279860973,997,0.014786142255442843,67428,0.5439847682974055,20.0
XGBoost,1369.826438102,0.02031539476333274,0.020105589721793514,67428,1.0,67428,0.5439847682974055,20.0
DNN,40.3857798270003,0.0005989467257964095,0.01913062376272076,1864,0.02764430207035653,67428,0.5439847682974055,20.0
TFT,138.2714995411318,0.0020506540241610575,0.002817340508239625,41937,0.6219523046805482,67428,0.5439847682974055,20.0
Hybrid,82.8014402024109,0.0012279978673905632,0.0021704295777392967,37568,0.5571572640446105,67428,0.5439847682974055,20.0
AdaptiveBlend,43.57694829782471,0.0006462737779234844,0.004129178848270746,7700,0.11419588301595776,67428,0.5439847682974055,20.0
StackedXGB,537.8191657405611,0.00797619929021417,0.00779767262312958,67428,1.0,67428,0.5439847682974055,20.0
