Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
Persistence,0.10354613171123761,0.25414203430359716,21465.074246851036,15.939596006560814,0.9693982892946766,1.5254839778073337,1.5255207767661296,-3.679895879611636e-05,59412
XGBoost,0.06717994449833845,0.12535021089555787,142230.71826432564,22.363001550829704,0.9925553747795187,1.5146971628394865,1.5255207767661296,-0.010823613926643135,59412
DNN,0.04999600841958025,0.09732470752339233,137946.7228044305,21.269980651750544,0.9955121439751949,1.545802184966171,1.5255207767661296,0.020281408200041352,59412
TFT,0.04111951572928228,0.08803004379432458,72247.87049472998,18.976910478798878,0.996328406966619,1.519700706816218,1.5255207767661296,-0.00582006994991167,59412
MeanAverage,0.04167675966621837,0.09228219427952283,103895.5118451582,18.496958758863087,0.9959651394782222,1.526733351540625,1.5255207767661296,0.0012125747744955147,59412
StaticBlend,0.03871141433553126,0.08699253674841566,84126.36560483035,18.316761345057518,0.9964144424967151,1.5244206480485356,1.5255207767661296,-0.0011001287175942587,59412
Hybrid,0.03863763609885307,0.08651698491465315,96412.84645882499,18.330702736968902,0.9964535368357107,1.5242132178828578,1.5255207767661296,-0.0013075588832717824,59412
AdaptiveBlend,0.04351629406586167,0.09715112316474618,90530.16505016304,18.52663020181149,0.9955281384110184,1.5261908740738515,1.5255207767661296,0.0006700973077218496,59412
StackedXGB,0.05428696894644739,0.09687655533636585,111744.90281197283,19.840260887081183,0.9955533793808397,1.5014551194856343,1.5255207767661296,-0.024065657280495336,59412
