Model,Runs,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,PredMean_mean,PredMean_std,ActualMean_mean,ActualMean_std,Bias_mean,Bias_std,Samples_mean,Samples_std
Persistence,3,0.04967019284558519,0.0,0.1759503878078993,0.0,11299.145309773963,1.8189894035458565e-12,8.388068707505655,0.0,0.9805595648884937,0.0,0.7311764943097993,1.1102230246251565e-16,0.7311842360158579,1.1102230246251565e-16,-7.74170605895426e-06,0.0,123952.0,0.0
XGBoost,3,0.03059894764256153,0.008532795979172938,0.07827747145786376,0.006928705314806761,494961.4333940945,429808.5328751515,113.81811935412496,0.7300300356866062,0.9961221726232671,0.0007005621200386358,0.7355723351711309,0.0005888056103764587,0.7311842360158579,1.1102230246251565e-16,0.0043880991552727585,0.0005888056103764576,123952.0,0.0
DNN,3,0.03450841063500087,0.0010001923175420532,0.06865165707402197,0.0007767029906345822,1054571.9859373292,58580.84887242449,114.85222772869184,0.27578599109987273,0.9970400582874809,6.708255311390528e-05,0.7197566660469653,0.004635942634338843,0.7311842360158579,1.1102230246251565e-16,-0.011427569968892744,0.004635942634338878,123952.0,0.0
TFT,3,0.02114353985266311,0.00402914682355821,0.06266533179438692,0.005425972629872092,134143.77356681283,18674.102987011607,112.90689977235975,0.9428340768591763,0.9975155854186729,0.0004399969631114566,0.7342851658359614,0.004305584420701174,0.7311842360158579,1.1102230246251565e-16,0.0031009298201033196,0.004305584420701187,123952.0,0.0
Hybrid,3,0.018796304179904244,0.001965634911893113,0.06055360654444857,0.002795345616374157,89894.05804491392,31063.93304215933,112.26474968601319,0.617469161422721,0.9976925618628645,0.00021575375396404374,0.7338659738863585,0.002605279926119842,0.7311842360158579,1.1102230246251565e-16,0.002681737870500512,0.0026052799261198347,123952.0,0.0
AdaptiveBlend,3,0.022754595105866856,0.0018411272582938853,0.0710591604541858,0.0030469064230727026,189497.14511238472,60440.48359431991,112.52082913798813,0.3976501282221871,0.9968233935581873,0.0002749022684195692,0.7309580046723654,0.0010735534990603778,0.7311842360158579,1.1102230246251565e-16,-0.00022623134349265033,0.0010735534990604495,123952.0,0.0
StackedXGB,3,0.026599133536501975,0.005934078995686882,0.06419843360074548,0.004715241976973726,411615.7833985027,208112.61903745623,113.30951446862372,0.6836236076002966,0.9973979781740608,0.0003705141917995179,0.7279889194246213,0.003048603275063074,0.7311842360158579,1.1102230246251565e-16,-0.003195316591236588,0.0030486032750630257,123952.0,0.0
