Model,Runs,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,PredMean_mean,PredMean_std,ActualMean_mean,ActualMean_std,Bias_mean,Bias_std,Samples_mean,Samples_std
AdaptiveBlend,3,0.030991032026890315,0.00783872798675629,0.110969426345918,0.045045150612439196,125112.21270922622,79057.16481367835,110.38068235431611,6.4582050835084805,0.9903687052022452,0.008301997288319714,0.7244714711448408,0.07379777582735153,0.7331396956401308,0.06145661531259044,-0.008668224495290141,0.013507630980454127,123949.33333333333,1.8856180831641267
DNN,3,0.0349384546448361,0.0028788805244707684,0.09342846345883708,0.022472129150696726,543198.1228938209,359909.06883519306,112.06074640750113,6.371774508860445,0.9939718001465709,0.003303147068637046,0.7281388225173983,0.06925570846460052,0.7331396956401308,0.06145661531259044,-0.005000873122732477,0.007857922212600886,123949.33333333333,1.8856180831641267
Hybrid,3,0.02782985516989997,0.006528427304120287,0.09801519252011885,0.03492583391694814,81876.52675344892,35824.815534830646,110.03906215873172,6.945309995815047,0.9928009250651129,0.005541856238297164,0.7287292783414469,0.0718849434102962,0.7331396956401308,0.06145661531259044,-0.004410417298683962,0.011626467680168598,123949.33333333333,1.8856180831641267
Persistence,3,0.06078067205770173,0.014533221451156686,0.20895894350110997,0.04628488988800433,11252.828848976598,7554.880478312615,9.019580265220393,0.7777682953928515,0.9718248711666861,0.010685410159040086,0.7331378624279207,0.06145762454225853,0.7331396956401308,0.06145661531259044,-1.8332122101527127e-06,4.277027277720162e-06,123949.33333333333,1.8856180831641267
StackedXGB,3,0.0342990207711475,0.008550507846687512,0.11450857616729142,0.05292033364028396,183917.85201559737,175649.7630901907,110.85099608245157,6.428366665666076,0.9892743682596258,0.010044363877390012,0.7192861071780424,0.07518983840854104,0.7331396956401308,0.06145661531259044,-0.013853588462088312,0.015042189814907654,123949.33333333333,1.8856180831641267
TFT,3,0.03384523826756944,0.008390353545904151,0.11395881963422234,0.05115152265650734,112459.56397064078,34177.1007165407,111.57570160374634,6.623307504277096,0.9894860437846457,0.00969556832211264,0.7235688693517597,0.07478186600692895,0.7331396956401308,0.06145661531259044,-0.00957082628837118,0.015753939510801188,123949.33333333333,1.8856180831641267
XGBoost,3,0.038131713521990344,0.00413727306294392,0.11130067327534898,0.026683917457230286,407176.56097463093,490261.3812160252,111.05639976530348,6.913410431692739,0.9914007623314766,0.004889856240152403,0.7331384512273411,0.07188766981305968,0.7331396956401308,0.06145661531259044,-1.2444127897208793e-06,0.011044134823679705,123949.33333333333,1.8856180831641267
