Seed,Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
42,Persistence,0.04967019284558519,0.1759503878078993,11299.145309773961,8.388068707505655,0.9805595648884937,0.7311764943097991,0.731184236015858,-7.74170605895426e-06,123952
42,XGBoost,0.04260493204259882,0.08797443132293978,1100321.5750163896,114.83994467579714,0.9951399754779331,0.7364009257296118,0.731184236015858,0.005216689713753736,123952
42,DNN,0.03354169097139859,0.06848976040883366,1051317.7410149479,114.56456805337412,0.9970543793339008,0.7244950319931324,0.731184236015858,-0.006689204022725632,123952
42,TFT,0.02683759161636911,0.07033156224255452,157972.22517324102,114.21171377987753,0.9968938240498858,0.734289280276799,0.731184236015858,0.003105044260940889,123952
42,Hybrid,0.021529711831296698,0.06446772382138934,132093.04147049703,113.12592942538863,0.9973901821470844,0.7343033709223007,0.731184236015858,0.0031191349064427147,123952
42,AdaptiveBlend,0.024886510610801545,0.07522851632889639,232594.41609997017,113.00440468442625,0.9964462201748852,0.7306315155633216,0.731184236015858,-0.0005527204525364207,123952
42,StackedXGB,0.029018459353687805,0.06713149061657864,428637.41152701125,113.72811967377521,0.9971700542817876,0.726491524420693,0.731184236015858,-0.004692711595164943,123952
52,Persistence,0.04967019284558519,0.1759503878078993,11299.145309773961,8.388068707505655,0.9805595648884937,0.7311764943097991,0.731184236015858,-7.74170605895426e-06,123952
52,XGBoost,0.02564722361614594,0.0746484844693299,239793.32528405348,113.43495855628518,0.9965008100834433,0.735086511331068,0.731184236015858,0.0039022753152098567,123952
52,DNN,0.03588601138909797,0.06967347915257875,1127890.3296142982,115.22414922057655,0.9969516802531019,0.7134633446609975,0.731184236015858,-0.017720891354860616,123952
52,TFT,0.01848189755385145,0.05912109631495915,112368.67284884822,112.01679664101485,0.9978051215127904,0.739556349849282,0.731184236015858,0.00837211383342395,123952
52,Hybrid,0.01786771320355332,0.05907686043885511,79372.19614494714,111.95937698898571,0.9978084048094614,0.736815514329526,0.731184236015858,0.005631278313667947,123952
52,AdaptiveBlend,0.02039410014585643,0.06803224485097613,104022.40375612103,112.03043634696374,0.9970936017235428,0.7324053167170427,0.731184236015858,0.0012210807011847388,123952
52,StackedXGB,0.01843029774362878,0.05754556314897998,148646.73811380792,112.34550058551234,0.9979205465004529,0.7322389493936252,0.731184236015858,0.0010547133777671466,123952
62,Persistence,0.04967019284558519,0.1759503878078993,11299.145309773961,8.388068707505655,0.9805595648884937,0.7311764943097991,0.731184236015858,-7.74170605895426e-06,123952
62,XGBoost,0.023544687268939823,0.07220949858132161,144769.39988184042,113.17945483029254,0.9967257323084252,0.7352295684527127,0.731184236015858,0.004045332436854683,123952
62,DNN,0.03409752954450603,0.06779173166065351,984507.8871827421,114.76796591212484,0.99711411527544,0.7213116214867661,0.731184236015858,-0.009872614529091986,123952
62,TFT,0.01811113038776876,0.05854333682564707,132090.4226783492,112.49218889618686,0.9978478106933422,0.7290098673818032,0.731184236015858,-0.002174368634054882,123952
62,Hybrid,0.016991487504862714,0.058116235373101253,58216.93651929761,111.70894264366518,0.9978790986320475,0.7304790364072489,0.731184236015858,-0.0007051996086091249,123952
62,AdaptiveBlend,0.022983174560942593,0.06991672018268484,231874.61548106308,112.52764638257442,0.9969303587761337,0.7298371817367318,0.731184236015858,-0.001347054279126269,123952
62,StackedXGB,0.03234864351218934,0.06791824703667781,657563.2005546889,113.85492314658359,0.9971033337399418,0.725236284459546,0.731184236015858,-0.005947951556311968,123952
