Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
Persistence,0.04967019284558519,0.1759503878078993,11299.145309773961,8.388068707505655,0.9805595648884937,0.7311764943097991,0.731184236015858,-7.74170605895426e-06,123952
XGBoost,0.04260493204259882,0.08797443132293978,1100321.5750163896,114.83994467579714,0.9951399754779331,0.7364009257296118,0.731184236015858,0.005216689713753736,123952
DNN,0.028390970595050205,0.06777188287384492,504639.62754992855,114.08103343677371,0.9971158049483111,0.7366704338871432,0.731184236015858,0.005486197871285071,123952
TFT,0.020471868050371853,0.06095956341111152,108340.06866060868,112.86798639100356,0.9976664923977114,0.7277959382222328,0.731184236015858,-0.003388297793625248,123952
MeanAverage,0.021888874105485366,0.06396078797245269,236857.93686829405,112.89681687197192,0.9974310648855409,0.7336224326129959,0.731184236015858,0.0024381965971378523,123952
StaticBlend,0.019059810777052925,0.06023893598418706,87849.97097285479,112.17194250733714,0.997721336957399,0.7303526470105945,0.731184236015858,-0.0008315890052634839,123952
Hybrid,0.018880367030137905,0.05990559084652056,79460.00313741887,111.74177140169657,0.997746486126453,0.7303397413266143,0.731184236015858,-0.0008444946892436471,123952
AdaptiveBlend,0.02183217902821088,0.06728142059304497,137211.15896981617,112.82561124204422,0.9971573994905688,0.7324165026081957,0.731184236015858,0.0012322665923376619,123952
StackedXGB,0.030324751896240627,0.06735470292441541,476763.99671980063,113.62083827443685,0.9971512038473538,0.7239534322986747,0.731184236015858,-0.007230803717183293,123952
