Plant,Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
AliceSprings_HighEfficiency_4A,Persistence,0.07468475176583023,0.23385712903238523,17329.97208370395,8.897492341746235,0.978741615534718,1.1078483286909406,1.1078620071038554,-1.3678412914768533e-05,30988
AliceSprings_HighEfficiency_4A,XGBoost,0.04924321167532196,0.10486118249825341,1067280.6102078448,111.03410335807742,0.995725763669746,1.1091530286290792,1.1078620071038554,0.0012910215252237825,30988
AliceSprings_HighEfficiency_4A,DNN,0.03716908882234425,0.08414780066706547,882296.0477298228,109.99239322571503,0.99724758086321,1.1033446601032633,1.1078620071038554,-0.004517347000592059,30988
AliceSprings_HighEfficiency_4A,TFT,0.04277464326758656,0.1070635412206891,329734.3246126211,111.47046166768497,0.995544338008732,1.1106655568411476,1.1078620071038554,0.0028035497372923047,30988
AliceSprings_HighEfficiency_4A,Hybrid,0.027707839669739585,0.0832073473834888,112102.2229372109,109.89804896880531,0.9973087602800738,1.1126481352567272,1.1078620071038554,0.0047861281528720195,30988
AliceSprings_HighEfficiency_4A,AdaptiveBlend,0.03064168839344955,0.08173486453892116,452427.8563751461,109.75589274114759,0.9974031687779443,1.1078443754548937,1.1078620071038554,-1.7631648961603732e-05,30988
AliceSprings_HighEfficiency_4A,StackedXGB,0.0267458866042276,0.08047707632337085,144975.45163516057,109.8751124090213,0.9974824772114452,1.1119767969273204,1.1078620071038554,0.004114789823464901,30988
AliceSprings_MonoTrack_1A,Persistence,0.024972046990959125,0.0783758585042651,6242.186772197082,7.745892258961799,0.9777514051498981,0.3655199178858777,0.3655230976108501,-3.1797249724638143e-06,30988
AliceSprings_MonoTrack_1A,XGBoost,0.030554759719462487,0.054754454956771614,1128043.1389481768,116.43029366792517,0.9891413237225165,0.377933444166865,0.3655230976108501,0.012410346556014843,30988
AliceSprings_MonoTrack_1A,DNN,0.02573757846199938,0.03857998805670215,1124780.1479442006,115.78454331918648,0.9946090892323679,0.3548940968383221,0.3655230976108501,-0.010629000772527973,30988
AliceSprings_MonoTrack_1A,TFT,0.019830236813104384,0.04308280866690649,151053.179739325,116.03800681333152,0.9932772651610513,0.37365892368685094,0.3655230976108501,0.008135826076000843,30988
AliceSprings_MonoTrack_1A,Hybrid,0.014360242618688467,0.03341400878075797,128527.01400400458,115.16263580745469,0.9959561491379113,0.3723021848725583,0.3655230976108501,0.006779087261708189,30988
AliceSprings_MonoTrack_1A,AdaptiveBlend,0.015074405101221383,0.03220789223858873,286861.715777247,114.93418350657872,0.9962428150457705,0.36436367606299247,0.3655230976108501,-0.0011594215478576621,30988
AliceSprings_MonoTrack_1A,StackedXGB,0.013437407124105698,0.03158680739378815,154300.3065585207,114.69560758391285,0.9963863221809041,0.36716453214707423,0.3655230976108501,0.0016414345362241645,30988
AliceSprings_PolyFixed_1C,Persistence,0.022425801841462638,0.07352032198132265,5410.50105282065,7.607996289564925,0.9789432359658596,0.326982918058201,0.32698613220496164,-3.21414676061273e-06,30988
AliceSprings_PolyFixed_1C,XGBoost,0.030628587085257362,0.05404150548657677,1126466.5949611275,118.77844997954699,0.9886228965308123,0.3422004764968015,0.32698613220496164,0.015214344291839887,30988
AliceSprings_PolyFixed_1C,DNN,0.026435783849943696,0.04356849249879088,1106698.5132629846,119.99582396504407,0.9926052772402683,0.3144653876706029,0.32698613220496164,-0.012520744534358742,30988
AliceSprings_PolyFixed_1C,TFT,0.026398790336256348,0.05248722663366106,277810.15679521044,118.40008836152253,0.9892679155580814,0.33271374775362933,0.32698613220496164,0.00572761554866773,30988
AliceSprings_PolyFixed_1C,Hybrid,0.014026793316000501,0.03679169361727557,124701.85882670913,115.88409119240097,0.9947267739405179,0.3298384199641023,0.32698613220496164,0.0028522877591406286,30988
AliceSprings_PolyFixed_1C,AdaptiveBlend,0.014092755461965378,0.03655082211968352,187523.7770708686,115.15338383737172,0.9947955944756338,0.32563075130863556,0.32698613220496164,-0.001355380896326046,30988
AliceSprings_PolyFixed_1C,StackedXGB,0.014625363333259265,0.03691849330951116,160246.44890201348,115.68621213040056,0.9946903637843538,0.32754606668669517,0.32698613220496164,0.0005599344817334976,30988
AliceSprings_PolyUtility_3A,Persistence,0.07659817078408876,0.23999372104122443,16213.921330374164,9.300893939749658,0.9784359875984425,1.1243548126041771,1.1243657071437652,-1.0894539587971963e-05,30988
AliceSprings_PolyUtility_3A,XGBoost,0.05999316969035347,0.11850569614401557,1079495.9559484099,113.11693169763899,0.9947421491077474,1.1163167536257015,1.1243657071437652,-0.008048953518063567,30988
AliceSprings_PolyUtility_3A,DNN,0.044824312751307036,0.09108187387873118,1091496.2551227834,112.48551170355093,0.9968940552348545,1.1252759833603412,1.1243657071437652,0.0009102762165762467,30988
AliceSprings_PolyUtility_3A,TFT,0.05092210532083919,0.11592743575854987,436661.6813675277,113.53119373112615,0.994968444431403,1.1171840705632456,1.1243657071437652,-0.007181636580519453,30988
AliceSprings_PolyUtility_3A,Hybrid,0.033316425599676236,0.08910338494423332,129797.72556629548,112.22989611637415,0.9970275249389645,1.1280602595872653,1.1243657071437652,0.0036945524435003166,30988
AliceSprings_PolyUtility_3A,AdaptiveBlend,0.03284149534176945,0.08737763315106829,182692.4826795506,111.5553797957392,0.9971415515318807,1.1294619089613893,1.1243657071437652,0.005096201817624351,30988
AliceSprings_PolyUtility_3A,StackedXGB,0.03292180379978297,0.08440657441936233,149132.59748488577,112.02900142756587,0.9973326355156368,1.122026933053472,1.1243657071437652,-0.002338774090292738,30988
