Model,BVP,BVPMean,BVPMAE,PositiveLeakCount,PositiveLeakRateOnRegion,RegionSamples,RegionRatio,RadiationThreshold
Full Hybrid,82.8014402024109,0.0012279978673905632,0.0021704295777392967,37568,0.5571572640446105,67428,0.5439847682974055,20.0
w/o Physics,110.05372305633321,0.0016321665043651482,0.0025745979207535174,37568,0.5571572640446105,67428,0.5439847682974055,20.0
Mean Average,133.5552421188638,0.001980708935736842,0.002647991949120842,42538,0.630865515809456,67428,0.5439847682974055,20.0
Equal Weights,88.75258184677872,0.0013162570719401246,0.001983540454041845,42538,0.630865515809456,67428,0.5439847682974055,20.0
w/o Plant Adaptation,80.85393796051352,0.0011991151741192608,0.0021359491168182593,41990,0.6227383282909177,67428,0.5439847682974055,20.0
w/o Scene Adaptation,62.286833295438655,0.0009237532374597891,0.0036510773166889754,17234,0.25559114907753455,67428,0.5439847682974055,20.0
w/o XGBoost,61.069207171546005,0.0009056950698752151,0.002113739400496457,34321,0.5090021949338553,67428,0.5439847682974055,20.0
w/o DNN,126.18591380681403,0.0018714171235512552,0.0023150444132968746,45588,0.6760989499911016,67428,0.5439847682974055,20.0
w/o TFT,102.42275016870391,0.0015189943371997376,0.0029241665151369146,36231,0.537328706175476,67428,0.5439847682974055,20.0
Adaptive Blend,43.57694829782471,0.0006462737779234844,0.004129178848270746,7700,0.11419588301595776,67428,0.5439847682974055,20.0
Stacked XGB,537.8191657405611,0.00797619929021417,0.00779767262312958,67428,1.0,67428,0.5439847682974055,20.0
